N,P,K,temperature,humidity,pH,rainfall,crop
103.2,29.53,60.94,24.34,65.03,7.07,444.04,Maize
99.51,33.9,73.56,28.57,82.55,6.85,298.04,Tomato
100.41,19.65,64.89,29.89,65.66,7.0,609.87,Cotton
74.91,28.0,39.56,30.93,56.55,7.07,590.86,Cotton
36.25,17.59,31.38,26.9,27.11,6.73,531.29,Millet
79.77,30.18,55.88,22.36,81.97,6.64,186.32,Onion
66.88,28.15,65.06,28.04,71.08,6.6,523.59,Soybean
107.65,32.93,78.5,29.17,55.69,6.71,617.51,Cotton
165.2,59.49,100.0,25.74,76.28,6.63,990.45,Sugarcane
43.01,28.25,49.83,18.68,41.52,6.85,208.75,Gram
95.59,45.39,70.25,19.14,70.46,7.08,429.14,Sugarbeet
76.2,26.48,26.29,29.18,39.93,6.5,542.02,Millet
87.11,28.05,52.93,27.78,73.41,6.8,332.34,Tomato
43.84,21.51,39.43,22.47,52.25,6.62,242.71,Pulses
36.31,24.8,35.84,18.85,55.88,7.04,302.0,Pulses
81.96,33.15,62.18,21.56,62.61,6.57,425.21,Corn
90.29,33.64,47.59,18.35,62.49,6.78,320.26,Onion
108.47,26.63,64.02,31.51,58.23,7.07,625.45,Cotton
7.64,20.91,33.17,26.17,33.18,6.7,539.67,Groundnut
109.58,33.96,55.8,27.37,67.61,6.69,483.64,Maize
138.73,49.58,83.23,19.48,54.32,7.26,405.81,Sugarbeet
50.23,27.89,33.63,19.14,55.73,6.65,349.03,Barley
135.87,56.22,99.4,23.59,69.46,7.03,1032.47,Sugarcane
44.21,23.79,49.2,24.42,54.94,7.02,467.88,Groundnut
143.74,56.77,100.0,23.93,77.79,7.07,1062.9,Sugarcane
96.77,48.96,80.25,18.4,68.86,6.92,394.26,Sugarbeet
55.58,32.39,65.59,23.09,48.03,6.57,437.14,Soybean
82.96,26.81,68.12,19.31,59.65,7.13,304.88,Wheat
15.06,15.48,38.19,32.02,62.19,6.81,360.81,Groundnut
61.76,27.26,36.27,22.33,62.52,6.53,508.41,Soybean
108.77,30.24,63.54,29.71,51.56,6.99,575.8,Cotton
121.29,47.31,78.58,21.27,64.29,7.06,448.25,Sugarbeet
147.09,63.11,100.0,25.2,72.83,6.67,963.05,Sugarcane
105.97,36.36,57.3,23.3,63.06,6.46,468.61,Tomato
104.45,31.92,65.45,27.19,66.84,6.66,481.21,Maize
91.78,29.13,67.02,26.03,52.47,7.22,634.36,Cotton
132.07,51.34,64.29,19.34,53.96,7.12,489.42,Sugarbeet
54.94,37.15,78.21,30.43,83.83,6.34,1336.19,Rice
26.8,29.55,48.63,20.47,55.99,7.15,196.37,Gram
78.57,31.27,40.91,26.67,50.98,6.75,575.41,Cotton
42.94,34.68,53.67,19.35,40.94,6.98,256.04,Pulses
41.38,26.08,20.82,20.59,60.79,6.56,293.45,Pulses
116.85,59.52,88.38,23.14,75.48,6.74,1090.34,Sugarcane
54.82,27.43,51.21,18.39,48.88,6.89,312.65,Barley
104.22,38.82,55.86,28.74,69.73,7.05,452.12,Maize
43.24,36.59,57.66,23.63,70.25,7.0,434.11,Soybean
43.21,24.54,36.17,21.09,50.98,6.13,229.92,Gram
23.87,25.01,49.57,23.7,52.41,6.61,263.17,Pulses
94.7,24.2,66.37,27.97,70.94,6.89,461.78,Corn
85.03,28.91,60.15,22.51,60.19,6.55,500.37,Maize
25.49,15.82,36.31,19.93,58.69,6.93,343.12,Gram
63.42,26.01,28.26,30.42,53.32,6.73,465.42,Millet
40.51,35.71,52.37,19.96,71.92,7.25,362.73,Wheat
55.84,13.04,36.81,23.56,54.55,6.26,530.02,Groundnut
67.62,22.3,30.5,19.89,62.93,6.81,465.81,Barley
127.71,54.48,87.07,14.52,73.28,7.21,433.32,Sugarbeet
145.23,62.44,96.41,26.59,70.74,7.15,1056.06,Sugarcane
42.83,32.98,42.93,20.5,49.82,6.93,323.89,Barley
69.49,30.61,69.87,28.91,92.93,7.0,1396.78,Rice
90.68,21.74,66.12,22.35,46.79,7.34,440.0,Corn
96.8,38.37,58.93,24.99,76.54,6.41,411.42,Maize
90.22,32.52,54.89,23.0,73.0,6.85,437.05,Tomato
4.96,29.34,35.87,21.68,62.62,6.53,306.45,Pulses
111.35,25.83,66.84,32.0,57.16,7.01,564.96,Cotton
29.39,9.24,25.32,26.92,63.43,6.25,404.99,Groundnut
62.52,28.79,63.35,27.13,62.82,6.46,432.04,Soybean
92.28,35.85,59.47,19.61,71.61,6.53,294.56,Onion
72.52,19.06,51.4,19.73,69.53,6.99,347.13,Gram
81.3,32.45,54.5,26.09,66.44,6.21,451.81,Corn
129.7,64.58,100.0,27.66,66.48,6.57,1106.76,Sugarcane
36.65,12.48,36.7,29.5,47.78,6.81,542.29,Millet
59.77,36.29,40.08,25.2,59.93,6.73,484.51,Soybean
16.13,27.23,28.88,21.02,49.59,7.11,359.92,Gram
116.64,55.18,100.0,25.26,68.53,6.57,1013.18,Sugarcane
66.65,34.91,44.98,23.0,55.48,7.38,419.45,Barley
146.14,59.45,100.0,22.94,68.82,6.83,1042.03,Sugarcane
123.12,19.23,66.81,24.22,76.03,6.91,413.54,Tomato
85.86,30.44,62.15,20.13,78.95,7.05,316.45,Onion
62.6,26.66,24.49,33.62,64.99,6.78,457.07,Millet
95.9,31.25,62.73,30.82,54.45,7.28,533.8,Cotton
24.26,29.12,27.53,19.65,54.78,6.7,339.4,Pulses
119.71,34.98,58.59,24.59,66.7,6.74,418.32,Maize
117.98,23.63,77.08,26.63,71.62,6.42,439.03,Corn
71.23,25.06,63.05,25.63,73.92,7.16,346.7,Tomato
34.46,18.39,38.09,27.13,45.8,6.77,391.24,Groundnut
80.66,24.6,38.92,16.77,48.87,6.48,187.42,Pulses
122.48,43.16,69.36,21.33,67.57,7.64,438.06,Sugarbeet
124.01,30.34,71.83,24.86,64.48,6.63,482.8,Maize
65.63,24.23,65.45,22.81,76.06,7.02,290.96,Onion
85.28,38.9,39.81,24.98,75.02,7.08,387.16,Tomato
108.52,32.49,51.74,31.85,50.94,6.87,635.04,Cotton
90.35,37.49,55.41,18.0,72.42,6.85,426.54,Onion
127.88,33.38,56.03,23.44,82.61,6.24,408.31,Tomato
83.35,31.41,58.21,25.88,73.61,6.9,454.95,Tomato
67.5,20.66,48.58,21.04,66.62,6.51,295.8,Pulses
27.84,24.55,54.69,25.89,70.85,6.61,472.27,Soybean
92.66,38.06,68.76,18.01,55.39,6.25,288.93,Onion
131.71,43.43,84.59,20.5,53.62,6.73,479.03,Sugarbeet
48.69,24.31,60.19,18.19,31.63,7.06,233.01,Wheat
36.31,24.15,39.2,27.91,61.19,6.38,491.13,Groundnut
97.94,27.46,45.32,24.88,60.91,6.34,463.7,Corn
69.55,30.58,36.84,20.57,62.09,7.07,312.66,Barley
78.77,33.56,57.9,22.2,69.56,7.01,266.58,Onion
26.04,26.87,39.27,18.3,44.82,6.58,329.61,Pulses
88.28,18.23,60.4,19.4,44.68,6.98,292.85,Barley
61.26,24.65,55.02,19.11,43.1,6.8,333.8,Pulses
105.89,35.93,43.47,25.02,55.68,7.04,519.73,Corn
45.25,20.51,29.33,25.92,50.48,6.86,409.43,Groundnut
50.67,19.04,33.41,32.96,57.35,6.6,518.6,Millet
86.82,39.44,75.41,21.1,59.38,6.62,393.48,Onion
138.09,58.19,100.0,20.98,64.72,6.42,1048.42,Sugarcane
98.01,30.52,62.88,27.34,83.63,6.91,469.2,Maize
87.27,18.23,32.11,30.32,88.05,6.89,1341.39,Rice
103.06,29.58,54.93,25.11,53.17,6.22,418.3,Corn
95.81,28.64,43.82,32.88,46.9,6.93,533.02,Cotton
80.84,34.69,66.14,22.22,81.99,6.35,461.26,Tomato
79.98,32.06,48.99,25.43,61.33,7.0,481.35,Tomato
183.13,59.19,84.44,22.72,71.9,6.63,1105.01,Sugarcane
74.45,30.0,52.52,33.45,82.95,6.91,1406.06,Rice
72.97,31.67,39.99,25.9,55.53,7.05,407.17,Soybean
99.68,31.05,40.2,21.32,66.83,6.5,290.09,Wheat
112.53,28.82,52.47,23.86,67.79,6.64,424.9,Corn
113.07,62.58,89.14,23.81,66.29,6.48,1079.79,Sugarcane
43.65,22.04,53.1,17.81,55.74,6.45,296.88,Pulses
106.3,30.51,46.8,22.34,63.09,6.9,452.24,Maize
29.79,18.42,46.99,29.39,23.17,6.89,527.03,Millet
42.99,23.17,34.99,20.2,54.78,6.89,264.81,Pulses
29.5,26.28,37.51,24.18,51.0,6.17,315.56,Gram
118.54,31.29,60.93,20.53,72.27,7.1,279.7,Onion
42.49,33.14,38.79,21.87,54.85,6.93,340.82,Pulses
58.82,27.09,60.69,20.07,38.72,6.68,342.3,Barley
104.45,34.66,74.07,27.85,82.94,6.62,494.18,Tomato
112.65,33.31,68.65,20.07,58.52,6.17,561.7,Maize
63.12,31.76,48.66,30.47,84.7,6.26,1391.43,Rice
36.55,22.38,28.86,20.7,52.73,7.34,432.08,Gram
96.9,32.13,62.8,18.92,52.23,6.69,230.41,Onion
95.35,41.86,51.48,23.63,69.9,6.63,350.31,Tomato
36.09,14.88,30.33,29.76,40.26,7.18,620.31,Millet
113.47,30.77,56.2,24.05,63.33,6.86,481.99,Corn
107.18,32.74,80.68,24.2,65.99,6.75,413.15,Tomato
50.3,30.16,44.38,25.95,61.15,7.04,454.22,Soybean
69.17,30.38,47.41,23.58,64.39,6.79,296.73,Wheat
46.34,22.09,39.91,20.75,63.36,7.36,204.63,Gram
78.61,33.18,43.68,21.81,55.16,6.93,248.43,Wheat
83.51,30.2,52.85,22.34,59.09,6.68,367.79,Wheat
132.76,60.12,100.0,23.02,80.46,6.48,1049.85,Sugarcane
115.07,34.37,77.3,26.61,71.43,6.52,463.47,Maize
75.99,28.6,56.27,15.97,44.28,7.01,295.57,Wheat
174.17,55.28,100.0,24.26,68.2,6.8,1057.78,Sugarcane
104.34,38.22,86.55,26.05,61.04,6.54,463.53,Corn
35.47,27.45,45.49,31.8,36.25,6.54,473.35,Millet
43.76,28.11,12.84,31.63,40.35,7.3,543.84,Millet
57.33,23.96,56.77,22.42,65.73,6.76,289.77,Barley
77.93,36.13,30.07,31.57,78.25,6.8,1389.77,Rice
164.37,59.52,100.0,21.81,70.88,6.59,976.5,Sugarcane
91.65,15.76,44.8,19.88,33.1,7.34,261.36,Wheat
42.12,21.63,57.4,28.15,58.51,6.67,427.37,Groundnut
79.44,28.98,52.12,21.65,65.75,6.24,318.39,Onion
125.67,51.37,73.29,18.35,51.65,7.4,374.3,Sugarbeet
56.12,27.62,37.76,22.24,49.64,7.01,305.25,Barley
64.29,15.82,63.68,28.64,88.21,6.37,1365.82,Rice
111.25,22.35,72.67,20.05,65.49,7.24,259.32,Onion
146.36,52.89,88.5,19.84,74.04,7.27,435.75,Sugarbeet
100.5,37.83,63.77,30.92,76.63,6.65,1363.4,Rice
40.85,36.11,71.11,27.65,51.2,6.23,679.65,Cotton
56.11,28.54,51.72,21.69,50.01,7.47,406.47,Barley
28.24,21.96,19.14,17.66,66.43,6.82,335.2,Barley
17.63,16.78,49.14,18.55,47.11,6.68,216.16,Gram
109.66,26.67,64.17,25.57,67.04,7.2,360.09,Corn
80.05,39.84,61.07,27.68,66.14,6.87,399.49,Corn
44.44,28.3,43.09,20.98,58.23,7.18,200.41,Gram
150.76,60.28,100.0,25.83,78.58,6.95,1093.44,Sugarcane
54.03,20.25,41.54,30.29,55.76,6.34,469.59,Groundnut
143.6,44.07,84.84,17.79,68.88,7.53,518.83,Sugarbeet
69.09,32.85,59.54,26.34,89.18,6.36,1351.72,Rice
59.61,29.69,37.09,21.61,53.12,7.46,354.1,Wheat
99.9,45.42,75.61,20.07,55.92,7.01,425.31,Sugarbeet
69.6,23.32,34.88,18.12,64.06,7.12,307.33,Barley
75.37,33.44,52.92,32.31,62.51,7.22,607.06,Cotton
80.93,29.38,53.72,24.4,43.02,6.2,476.64,Maize
121.73,34.25,72.15,26.1,74.36,6.98,383.47,Corn
151.03,58.72,100.0,23.75,62.38,6.64,1017.39,Sugarcane
52.54,29.4,51.77,31.44,80.03,6.57,1294.15,Rice
73.1,24.7,48.65,24.96,86.39,6.45,474.8,Tomato
78.11,23.61,60.96,32.15,82.45,6.73,1336.61,Rice
16.49,41.14,64.55,25.45,74.2,7.21,428.71,Soybean
123.84,47.92,84.19,21.44,59.84,7.18,407.22,Sugarbeet
96.44,21.73,59.76,26.12,81.49,6.91,429.99,Tomato
101.72,32.86,64.5,26.07,77.13,6.8,455.17,Tomato
55.63,29.94,47.48,26.49,56.12,6.62,515.56,Soybean
66.18,27.3,50.17,30.9,48.27,6.94,567.66,Cotton
151.18,46.06,74.81,20.24,56.65,7.53,553.67,Sugarbeet
33.59,28.11,58.54,26.43,56.85,6.48,467.32,Soybean
91.36,31.61,72.21,21.42,52.36,6.86,393.76,Onion
42.55,19.47,24.98,28.89,59.16,7.03,445.76,Millet
81.36,31.05,55.88,20.42,70.53,6.67,326.99,Onion
85.12,24.61,46.76,27.96,82.87,6.68,1446.17,Rice
92.17,28.27,49.99,24.55,67.05,6.5,314.12,Tomato
154.63,67.64,86.07,21.61,80.48,7.46,1017.1,Sugarcane
67.49,21.5,60.56,25.06,72.2,6.8,349.08,Barley
102.2,21.88,58.96,26.47,58.01,6.91,468.08,Maize
86.86,33.37,58.02,22.5,84.12,6.27,470.02,Tomato
30.19,39.3,70.25,23.3,54.12,6.52,508.02,Soybean
39.93,28.95,45.26,18.75,55.17,6.87,379.41,Barley
105.2,30.97,55.88,33.17,63.4,6.97,636.03,Cotton
129.89,52.31,100.0,25.32,80.93,6.81,1033.5,Sugarcane
23.62,19.59,44.25,28.46,45.34,7.04,524.21,Millet
40.07,18.55,59.92,26.21,45.33,7.06,437.71,Soybean
99.69,33.54,57.02,21.83,60.1,6.35,240.19,Onion
83.74,34.61,53.85,28.67,78.59,6.85,1396.58,Rice
66.78,28.18,70.82,21.18,59.72,6.54,246.16,Onion
102.33,28.69,41.15,25.62,54.31,6.62,469.31,Corn
54.28,30.61,37.04,19.16,50.32,6.65,378.41,Wheat
104.38,27.95,42.43,22.05,53.75,7.04,459.05,Corn
41.01,28.67,31.37,21.01,53.4,6.45,290.73,Pulses
62.8,22.51,37.76,23.54,53.73,6.88,222.52,Barley
94.78,29.05,68.49,25.04,55.15,7.17,501.45,Corn
94.69,26.52,56.33,17.26,64.89,7.03,276.13,Wheat
167.78,64.94,100.0,28.27,79.52,6.61,1055.39,Sugarcane
82.7,22.27,54.7,20.37,64.93,7.08,294.31,Wheat
105.04,15.85,58.44,25.17,58.16,6.62,418.84,Corn
39.85,24.45,23.26,29.91,45.54,6.78,535.93,Millet
74.86,28.04,54.75,31.0,53.68,6.86,734.88,Cotton
71.31,23.7,35.19,17.38,57.06,6.8,340.87,Barley
90.18,27.85,84.92,16.2,70.63,7.06,234.72,Onion
131.59,28.86,69.17,28.0,58.25,6.97,386.28,Maize
74.66,24.89,43.18,18.09,61.68,6.75,381.16,Barley
86.65,29.49,67.74,23.73,60.6,7.07,460.99,Corn
80.18,24.28,48.11,18.6,40.71,7.07,425.33,Barley
21.29,27.34,16.8,22.32,60.37,6.59,318.44,Pulses
65.56,31.53,39.64,23.76,52.7,7.35,299.48,Wheat
22.97,18.57,44.38,19.33,49.13,7.17,308.93,Gram
64.54,21.96,37.88,19.89,65.1,6.65,252.83,Gram
39.06,30.5,38.12,21.56,61.74,7.04,272.96,Barley
99.73,35.8,64.45,27.81,44.46,6.8,520.05,Cotton
30.56,30.24,42.13,21.23,56.71,6.74,343.43,Gram
56.56,30.07,47.23,26.45,52.62,6.97,439.82,Soybean
76.74,32.41,51.71,26.29,93.73,6.34,1381.09,Rice
112.4,30.12,69.14,27.55,62.51,6.46,400.28,Corn
113.29,24.8,68.88,18.27,69.6,6.85,275.31,Onion
91.41,19.01,74.95,25.39,62.8,6.35,405.63,Corn
97.16,30.91,62.98,32.85,81.36,6.29,1385.94,Rice
120.31,27.5,52.54,25.94,69.16,6.77,472.68,Corn
109.73,51.16,73.12,18.02,71.28,7.69,478.0,Sugarbeet
55.16,32.31,61.43,16.8,40.02,7.37,339.58,Barley
28.05,20.01,51.8,24.03,57.73,7.08,471.62,Groundnut
70.12,36.38,54.62,29.42,68.01,7.5,463.03,Cotton
74.9,30.72,50.38,25.84,66.71,6.63,514.83,Soybean
55.74,15.57,23.26,32.67,43.49,7.14,437.35,Millet
72.57,29.67,68.35,28.82,51.29,6.77,524.77,Soybean
44.11,30.71,40.14,18.22,49.41,6.85,286.09,Gram
159.67,54.4,88.02,26.37,64.62,7.18,1046.14,Sugarcane
157.17,63.03,95.87,24.82,83.55,6.97,1037.43,Sugarcane
159.39,64.1,100.0,27.67,86.64,6.39,1020.17,Sugarcane
73.68,32.1,47.8,30.96,68.08,7.56,641.65,Cotton
81.94,35.12,75.46,18.71,73.97,7.18,386.8,Onion
85.68,24.51,61.04,29.14,63.83,7.21,564.74,Cotton
97.06,53.8,74.56,21.65,77.7,7.33,460.51,Sugarbeet
28.83,18.95,35.01,20.04,50.1,7.1,219.3,Pulses
115.87,25.57,74.14,24.86,63.87,7.1,465.31,Corn
92.81,31.12,54.01,21.05,62.83,6.77,300.64,Wheat
54.38,36.23,32.73,23.09,60.07,6.61,181.36,Barley
79.28,24.42,20.85,23.03,69.2,7.38,314.74,Barley
51.11,27.9,51.33,22.77,57.15,6.66,508.02,Soybean
149.48,58.82,100.0,28.08,70.43,6.44,998.68,Sugarcane
64.25,17.06,37.94,29.4,34.16,6.54,419.07,Millet
59.53,31.18,55.45,27.41,66.05,6.39,536.37,Soybean
158.37,53.74,91.56,22.82,81.52,6.38,1067.68,Sugarcane
43.27,18.19,18.71,32.06,42.84,6.98,543.93,Millet
63.5,30.4,54.3,17.06,64.99,6.73,236.64,Pulses
113.15,56.07,100.0,23.57,63.66,6.78,1044.25,Sugarcane
26.83,19.69,35.98,27.74,62.55,6.82,469.45,Groundnut
10.41,27.9,42.86,26.58,62.09,7.28,533.64,Soybean
154.63,58.67,100.0,23.93,75.47,7.06,1027.14,Sugarcane
73.28,33.71,54.1,27.54,65.54,6.1,401.05,Corn
87.44,32.37,50.55,20.8,42.56,7.59,364.71,Barley
92.23,29.85,66.45,27.78,45.97,6.69,648.61,Cotton
70.97,27.03,42.44,28.82,51.79,7.48,586.62,Millet
103.53,31.04,51.97,24.83,64.51,6.5,446.02,Maize
63.55,30.32,48.77,21.81,56.98,6.69,268.73,Barley
98.31,34.84,66.04,27.67,54.79,6.44,381.95,Maize
43.06,25.56,27.9,18.08,54.94,6.69,285.46,Pulses
87.98,37.41,44.61,30.86,82.75,6.75,1317.79,Rice
41.01,25.09,44.64,20.98,32.9,7.09,322.94,Pulses
77.21,24.52,61.46,29.52,79.83,6.05,1305.82,Rice
129.86,22.25,67.84,26.44,72.48,7.33,453.07,Maize
74.39,21.55,59.28,30.05,47.14,7.14,571.97,Cotton
30.61,16.96,23.1,29.66,39.45,7.19,525.91,Millet
52.31,30.05,59.91,27.44,80.21,6.42,454.11,Soybean
83.72,40.13,38.8,20.74,59.97,6.88,298.27,Wheat
45.98,30.94,60.27,26.49,61.88,7.14,462.67,Soybean
50.65,31.97,55.93,21.91,80.15,6.82,416.89,Tomato
93.76,28.32,55.79,27.49,64.35,7.04,377.38,Tomato
90.16,31.18,40.62,21.77,45.76,6.71,406.61,Wheat
70.48,28.29,54.19,19.94,37.0,7.21,289.65,Wheat
82.58,31.98,55.47,17.4,60.02,6.77,302.66,Wheat
78.23,26.61,47.45,27.8,54.83,7.1,579.63,Cotton
80.53,10.94,32.22,28.0,47.06,6.65,481.16,Millet
22.59,24.86,36.03,27.11,39.93,6.76,495.06,Millet
113.07,22.2,53.53,30.88,69.92,7.1,651.95,Cotton
70.83,35.49,58.77,21.5,58.98,6.31,442.66,Tomato
103.16,34.7,51.23,19.88,64.5,6.86,293.66,Onion
175.4,64.69,100.0,23.68,89.03,6.73,1016.78,Sugarcane
76.47,31.55,28.37,19.29,61.21,6.57,332.84,Wheat
65.19,27.26,59.24,21.16,64.05,6.98,323.8,Barley
141.03,49.0,81.18,21.5,70.47,7.22,421.8,Sugarbeet
127.52,25.9,61.04,26.44,73.27,6.41,442.0,Maize
57.7,28.7,42.06,29.07,43.41,6.7,411.16,Groundnut
85.28,31.01,54.05,20.53,53.58,6.8,363.8,Wheat
82.68,37.33,44.38,28.76,93.58,6.43,1429.99,Rice
159.3,63.64,100.0,23.88,62.5,6.66,1064.01,Sugarcane
99.55,22.77,54.01,24.78,61.83,6.71,330.72,Tomato
79.11,38.21,46.7,20.34,38.09,6.64,311.7,Onion
24.98,12.08,36.53,28.39,58.84,6.11,482.37,Millet
78.07,36.46,52.06,21.98,78.79,6.88,391.12,Maize
73.62,36.3,41.96,24.51,53.91,7.18,382.06,Wheat
107.87,35.71,76.93,20.39,63.24,6.56,241.01,Onion
128.39,56.78,100.0,25.37,78.18,6.4,1047.56,Sugarcane
102.04,51.03,79.52,19.59,73.25,6.55,412.35,Sugarbeet
69.08,29.62,47.38,27.63,58.17,6.45,507.03,Soybean
29.58,39.47,63.85,23.76,70.85,7.53,544.64,Soybean
64.87,28.44,32.52,19.95,44.27,7.2,310.23,Barley
56.64,35.87,58.25,25.63,67.09,6.57,480.71,Soybean
41.69,33.37,40.96,26.61,65.66,6.56,531.37,Soybean
51.48,16.0,24.24,19.05,52.4,7.55,300.67,Barley
45.38,27.11,30.38,28.71,42.44,6.44,470.36,Millet
28.98,29.47,33.06,16.91,40.81,6.8,263.81,Gram
123.55,27.39,54.24,21.16,75.96,6.23,315.56,Onion
77.81,28.94,51.04,22.68,56.12,6.96,305.85,Wheat
87.98,26.58,58.38,24.64,64.76,6.48,428.96,Corn
59.45,32.2,42.8,28.59,58.38,6.78,446.94,Groundnut
124.56,26.37,79.96,27.61,63.51,6.56,460.15,Maize
109.58,34.8,66.81,26.17,74.79,6.95,288.7,Tomato
132.17,24.97,55.2,26.29,60.55,7.26,431.04,Maize
101.94,33.37,57.51,20.73,61.02,6.65,305.46,Onion
141.17,57.47,93.25,19.65,81.99,6.95,954.19,Sugarcane
144.53,54.94,100.0,21.55,88.59,6.5,1082.56,Sugarcane
38.97,34.58,53.73,20.45,49.27,6.66,290.39,Gram
61.23,27.16,52.55,20.64,48.68,6.81,338.89,Barley
64.18,38.57,64.45,18.41,56.19,7.11,279.17,Wheat
66.03,31.77,45.31,29.74,83.61,6.76,1331.37,Rice
104.12,27.03,52.26,28.27,81.48,6.8,1357.19,Rice
79.29,21.9,54.04,31.14,26.97,7.1,480.21,Millet
99.91,30.58,56.32,25.05,73.09,6.59,429.88,Tomato
15.36,24.97,30.7,26.14,55.85,6.73,386.45,Groundnut
79.29,31.22,61.72,26.42,56.25,6.73,564.32,Cotton
59.34,29.28,64.26,20.19,65.11,6.98,307.99,Wheat
125.62,35.14,48.86,24.82,69.43,6.6,399.45,Corn
48.65,27.52,44.55,27.0,77.44,6.7,511.37,Soybean
39.47,31.23,38.2,20.35,56.87,7.14,236.39,Gram
